"X98.landuse","X19.landuse","ha_non_protected"
0,0,334070.37
1,0,8.28
2,0,0.09
3,0,56.79
4,0,39.33
5,0,2.16
6,0,12.51
7,0,66.24
8,0,1.26
9,0,0.54
0,1,8.46
1,1,5247.45
2,1,9.81
3,1,18.45
4,1,9950.67
5,1,964.71
6,1,329.94
7,1,5561.82
8,1,281.43
9,1,212.67
0,2,0
1,2,0.36
2,2,4226.94
3,2,172.62
4,2,16.38
5,2,4.14
6,2,80.82
7,2,188.1
8,2,61.11
0,3,115.74
1,3,6.48
2,3,398.16
3,3,10188.72
4,3,238.86
5,3,342.45
6,3,9.36
7,3,73.62
8,3,33.12
9,3,0.36
0,4,16.47
1,4,1085.4
2,4,9.27
3,4,75.87
4,4,16331.67
5,4,359.73
6,4,375.75
7,4,3145.32
8,4,289.71
9,4,86.76
0,5,5.76
1,5,205.92
2,5,27
3,5,215.46
4,5,4643.46
5,5,1534.77
6,5,72.72
7,5,1143.72
8,5,252.81
9,5,13.05
6,6,21015.36
0,7,42.21
1,7,2401.56
2,7,628.38
3,7,286.65
4,7,11237.04
5,7,262.35
6,7,608.22
7,7,36966.78
8,7,1945.26
9,7,727.47
0,8,0.18
1,8,430.92
2,8,491.13
3,8,74.25
4,8,932.85
5,8,87.3
6,8,39.33
7,8,1957.68
8,8,5251.86
9,8,4.68
1,9,179.46
2,9,0.09
4,9,944.28
5,9,9.63
6,9,48.42
7,9,1740.51
8,9,49.95
9,9,298.35
